183,42.80907,-80.082283,0
249,44.0009375,-79.0003549,251
189,45.116674,-79.575376,232
93,44.5370197,-78.7361328,43
242,50.343502,-93.149968,74
63,44.3502163,-79.0386639,159
29,49.4108298,-94.0958688,41
159,49.783661,-94.442702,235
120,44.5404573,-78.5463692,40
97,45.0732581,-75.3630786,112
222,43.467517,-79.6876659,21
77,45.6071264,-74.604189,43
59,43.683715,-80.4305427,83
116,44.325776,-76.877355,22
188,44.474728,-77.310249,89
134,48.61912,-93.672267,158
127,44.482947,-77.682106,290
236,49.3431571,-82.1541332,216
208,46.1292653,-80.4253854,280
43,49.7800938,-92.8369592,39
142,42.815939,-81.55347,85
173,44.906384,-78.379801,1
121,43.7334165,-80.9514698,88
177,46.4849924,-84.0700558,216
95,43.2272182,-79.7195586,122
174,42.974536,-82.4065901,252
158,49.815079,-93.003948,115
210,45.7690306,-79.3963867,282
216,44.479331,-75.884855,201
36,46.02686,-79.719627,272
87,44.0050203,-77.8882304,157
45,43.1470282,-81.5337693,194
49,43.2557206,-79.8711024,179
172,42.702461,-81.0787939,296
74,46.362467,-80.4167049,232
90,43.0252588,-80.3751682,257
146,44.6059438,-80.5936871,194
228,49.974483,-94.390931,30
111,46.1947959,-82.3422779,154
232,42.833673,-79.931837,147
26,43.6956787,-79.4503544,132
22,46.3002729,-83.7934739,198
37,45.9776382,-80.5533142,188
50,44.2012812,-77.5959798,262
17,48.3808951,-89.2476823,199
241,43.8879476,-81.3116601,295
62,43.3794588,-80.7111058,256
8,43.139227,-79.4849,197
52,46.3863047,-79.2569657,226
145,42.2305382,-82.5519547,18
82,46.0976628,-77.4933397,185
239,45.5965501,-80.3845462,168
85,44.3186787,-80.6478828,145
147,46.1666669,-77.7,127
180,42.6641353,-81.2156329,278
246,46.212565,-82.077616,245
3,43.4037443,-80.6688672,273
165,42.603779,-81.606653,45
72,47.8423282,-83.4026108,263
16,43.303254,-80.62157,217
170,42.8813217,-81.0875412,129
206,45.539935,-77.1010788,257
202,42.8848979,-80.1106997,128
212,42.9035374,-79.6170044,258
161,44.596151,-78.939262,53
240,48.683333,-85.983333,269
163,43.217351,-81.069587,52
162,46.27853,-83.222592,288
198,45.3107048,-75.0893653,79
125,44.5690305,-80.9405602,190
213,44.8316783,-80.203564,126
139,44.9956663,-78.0147032,179
115,45.2255655,-76.1940598,233
185,42.9849233,-81.2452768,192
21,48.6949177,-93.0030097,291
200,44.8977889,-75.1833966,184
230,48.6477138,-93.9848425,175
233,44.9871484,-81.2546076,262
99,44.6361691,-75.6118557,74
229,45.7357254,-76.8631085,125
20,42.0355591,-82.918148,75
102,43.7059522,-80.3778336,209
160,44.175168,-77.30447,35
179,44.3008813,-79.6114973,268
153,45.2340408,-75.4718279,183
149,43.9631607,-78.9571069,45
78,44.059187,-79.461256,181
132,42.1308219,-82.7447369,187
191,43.1556566,-80.9010627,229
238,44.2830231,-79.8943637,206
167,43.9199788,-80.0943113,261
207,42.9096845,-81.4958601,37
136,43.093452,-82.0025626,276
205,45.8410378,-79.3795728,30
105,47.67449,-81.723429,102
88,42.296387,-83.06987,269
141,43.5815083,-80.7284435,16
248,42.3173601,-81.8470973,181
42,49.0157351,-88.268316,161
135,44.5052295,-77.4726363,78
175,44.4877449,-76.9951899,210
152,49.2122192,-84.7714443,266
83,43.7761753,-79.609243,183
39,44.709294,-75.518972,212
79,46.55469,-80.861431,285
68,43.271447,-80.657874,191
131,43.1389731,-81.0301867,198
244,44.1109858,-79.5794265,34
169,45.619883,-79.408748,218
223,42.95542,-81.6232333,196
168,43.5322057,-80.7657804,47
